stage	file_path	exists	size_bytes	modified_time
input_generation	data/example/patient-demographics.csv	True	246	2026-06-27T12:46:08
input_generation	data/example/clinical-encounters.csv	False	0	
input_generation	data/example/diagnoses.csv	True	418	2026-06-27T12:46:09
input_generation	data/example/procedures.csv	True	301	2026-06-27T12:46:09
input_generation	data/example/medications.csv	True	334	2026-06-27T12:46:09
input_generation	data/example/laboratory-results.csv	True	600	2026-06-27T12:46:09
input_generation	data/example/vital-sign-results.csv	True	520	2026-06-27T12:46:09
input_generation	data/example/clinical-outcomes.csv	True	663	2026-06-27T12:46:10
input_validation	results/clinical-data-quality-file-summary.tsv	True	541	2026-06-27T12:46:10
input_validation	results/clinical-data-quality-column-checks.tsv	True	1438	2026-06-27T12:46:10
input_validation	results/clinical-data-quality-missingness.tsv	True	999	2026-06-27T12:46:10
input_validation	results/clinical-data-quality-linkage-checks.tsv	True	244	2026-06-27T12:46:10
input_validation	results/clinical-data-quality-temporal-checks.tsv	True	177	2026-06-27T12:46:10
input_validation	results/clinical-data-quality-readiness-summary.txt	True	326	2026-06-27T12:46:10
missingness_and_readiness	results/missingness-file-summary.tsv	True	1380	2026-06-27T12:46:11
missingness_and_readiness	results/missingness-variable-summary.tsv	True	3685	2026-06-27T12:46:11
missingness_and_readiness	results/missingness-domain-summary.tsv	True	283	2026-06-27T12:46:11
missingness_and_readiness	results/missingness-patient-summary.tsv	True	124	2026-06-27T12:46:11
missingness_and_readiness	results/missingness-completeness-readiness-summary.txt	True	876	2026-06-27T12:46:11
variable_engineering	results/patient-level-derived-variables.tsv	True	866	2026-06-27T12:46:12
variable_engineering	results/clinical-variable-dictionary.tsv	True	3552	2026-06-27T12:46:12
variable_engineering	results/clinical-variable-engineering-summary.txt	True	751	2026-06-27T12:46:12
analysis_ready_dataset	results/analysis-ready-clinical-dataset.tsv	True	1597	2026-06-27T12:46:14
analysis_ready_dataset	results/analysis-ready-clinical-dataset-data-dictionary.tsv	True	4593	2026-06-27T12:46:14
analysis_ready_dataset	results/analysis-ready-clinical-dataset-readiness-summary.txt	True	905	2026-06-27T12:46:14
descriptive_analysis	results/descriptive-clinical-cohort-summary.tsv	True	361	2026-06-27T12:46:14
descriptive_analysis	results/descriptive-clinical-variable-summary.tsv	True	1943	2026-06-27T12:46:14
descriptive_analysis	results/descriptive-clinical-outcome-summary.tsv	True	61	2026-06-27T12:46:14
descriptive_analysis	results/descriptive-clinical-table-one.tsv	True	1194	2026-06-27T12:46:14
descriptive_analysis	results/descriptive-clinical-analysis-summary.txt	True	493	2026-06-27T12:46:14
risk_stratification	results/clinical-risk-stratification-results.tsv	True	550	2026-06-27T12:46:15
risk_stratification	results/clinical-risk-model-feature-summary.tsv	True	207	2026-06-27T12:46:15
risk_stratification	results/clinical-risk-model-summary.txt	True	670	2026-06-27T12:46:15
model_evaluation	results/clinical-model-evaluation-metrics.tsv	True	236	2026-06-27T12:46:16
model_evaluation	results/clinical-model-threshold-evaluation.tsv	True	288	2026-06-27T12:46:16
model_evaluation	results/clinical-model-risk-group-evaluation.tsv	True	104	2026-06-27T12:46:16
model_evaluation	results/clinical-model-calibration-table.tsv	True	88	2026-06-27T12:46:16
model_evaluation	results/clinical-model-evaluation-summary.txt	True	726	2026-06-27T12:46:16
clinical_interpretation	results/clinical-decision-support-readiness.tsv	True	2166	2026-06-27T12:46:17
clinical_interpretation	results/clinical-risk-interpretation-statements.tsv	True	3097	2026-06-27T12:46:17
clinical_interpretation	results/clinical-decision-support-action-map.tsv	True	818	2026-06-27T12:46:17
clinical_interpretation	results/clinical-interpretation-and-decision-support-summary.txt	True	844	2026-06-27T12:46:17
reporting	results/reports/reproducible-clinical-report.md	True	9437	2026-06-27T12:46:18
reporting	results/reports/reproducible-clinical-report-summary.tsv	True	153	2026-06-27T12:46:18
reporting	results/reports/reproducible-clinical-report-file-inventory.tsv	True	980	2026-06-27T12:46:18
dashboard_readiness	results/dashboard/dashboard-metric-catalog.tsv	True	2066	2026-06-27T12:46:19
dashboard_readiness	results/dashboard/dashboard-kpi-summary.tsv	True	885	2026-06-27T12:46:19
dashboard_readiness	results/dashboard/dashboard-risk-group-summary.tsv	True	208	2026-06-27T12:46:19
dashboard_readiness	results/dashboard/dashboard-readiness-issues.tsv	True	350	2026-06-27T12:46:19
dashboard_readiness	results/dashboard/clinical-dashboard-prototype.html	True	4280	2026-06-27T12:46:19
interoperability	results/interoperability/fhir-resource-mapping.tsv	True	2414	2026-06-27T12:46:20
interoperability	results/interoperability/interoperability-readiness-checklist.tsv	True	3835	2026-06-27T12:46:20
interoperability	results/interoperability/example-fhir-patient-bundle.json	True	1241	2026-06-27T12:46:20
interoperability	results/interoperability/interoperability-roadmap-summary.txt	True	1145	2026-06-27T12:46:20
